date,split,product,model,donor,recipient,quantity,distance,holding_days
2020-04-03 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don0,rec12,20.0,1237.3895,6.509027777777778
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don103,rec442,20.0,562.254,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don108,rec89,15.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don116,rec409,1.0,175.261,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don118,rec409,2.0,151.1025,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don124,rec89,100.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don135,rec89,2.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don141,rec0,5.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don143,rec89,1.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don145,rec122,19.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don146,rec131,35.0,175.261,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don149,rec89,3.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don150,rec89,18.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don164,rec442,2.0,408.943,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don166,rec87,10.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don167,rec89,2.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don168,rec0,6.0,94.5685,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don172,rec442,12.0,175.261,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don173,rec12,5.0,214.4355,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don184,rec253,140.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don188,rec621,500.0,175.261,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don199,rec409,10.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don201,rec605,16.0,295.1365,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don204,rec409,7.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don206,rec89,20.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don208,rec89,50.0,21.963,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don209,rec0,1.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don215,rec122,10.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don219,rec89,1.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don220,rec89,14.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don224,rec12,2.0,214.4355,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don233,rec409,2.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don234,rec89,4.0,214.4355,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don235,rec89,75.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don243,rec409,30.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don244,rec409,2.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don245,rec409,10.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don247,rec89,200.0,21.963,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don248,rec89,1.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don251,rec0,5.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don258,rec0,40.0,590.1020000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don264,rec89,120.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don265,rec122,2.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don268,rec12,300.0,349.019,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don282,rec0,4.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don294,rec89,8.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don295,rec0,5.0,151.1025,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don299,rec89,900.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don305,rec89,30.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don309,rec122,20.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don311,rec122,2.0,21.963,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don314,rec89,140.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don317,rec122,1000.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don353,rec89,10.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don356,rec89,300.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don357,rec89,30.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don358,rec409,60.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don359,rec0,2.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don360,rec87,10.0,68.58200000000001,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don373,rec89,300.0,349.019,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don376,rec38,200.0,385.7645,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don381,rec89,10.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don382,rec89,90.0,408.943,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don383,rec122,11.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don388,rec38,10.0,237.9225,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don397,rec38,1000.0,237.9225,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don399,rec89,38.0,21.963,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don400,rec89,5.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don401,rec122,950.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don402,rec0,3.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don405,rec122,1.0,14.096,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don411,rec0,30.0,94.5685,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don412,rec89,15.0,31.625,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don414,rec89,2.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don422,rec89,1.0,46.091,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don427,rec131,5.0,175.261,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don429,rec0,24.0,5.1795,4.833333333333333
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),don430,rec0,5.0,21.963,4.833333333333333
